Libreria,Iteracion,Sec_Level,T_keygen,T_cifardo,T_suma,T_multiplicacion,T_descifrado,T_context
nfllib,0,128,5317.95,50.8993,5.9855,659.339,29.806,
nfllib,1,128,1816.54,17.877,1.283,527.061,37.1495,
nfllib,2,128,10227.7,129.555,2.31,955.478,98.6615,
nfllib,3,128,1050.11,21.601,4.538,498.104,33.555,
nfllib,4,128,957.049,27.094,2.479,584.455,33.214,
nfllib,5,128,924.653,20.6327,3.434,477.514,31.318,
nfllib,6,128,7176.96,223.351,2.7355,1073.95,35.1135,
nfllib,7,128,955.669,26.5983,2.8905,541.165,33.9735,
nfllib,8,128,913.54,18.685,1.3355,500.836,32.143,
nfllib,9,128,7154.62,20.2023,1.447,530.024,35.6235,
nfllib,0,192,600.162,15.3543,2.4165,288.997,24.9245,
nfllib,1,192,461.581,14.8037,2.128,334.457,127.266,
nfllib,2,192,420.845,13.397,1.011,275.464,25.7265,
nfllib,3,192,625.121,13.526,1.0685,879.224,30.241,
nfllib,4,192,411.145,12.939,1.0355,268.351,25.8325,
nfllib,5,192,633.642,14.1703,1.0615,299.107,73.5375,
nfllib,6,192,446.981,13.1253,1.0875,269.238,25.8485,
nfllib,7,192,406.116,12.5403,0.886,266.086,26.351,
nfllib,8,192,638.701,20.8587,3.4785,337.075,26.199,
nfllib,9,192,897.789,16.6263,1.8215,354.488,32.973,
nfllib,0,256,2137.08,13.2593,2.3395,398.77,34.0995,
nfllib,1,256,306.011,13.5263,2.6775,219.677,26.793,
nfllib,2,256,286.666,10.7413,0.8685,205.828,25.2235,
nfllib,3,256,282.829,10.2887,0.8435,198.707,24.4435,
nfllib,4,256,365.866,12.0073,2.589,211.139,25.4985,
nfllib,5,256,260.978,10.528,0.963,199.758,24.697,
nfllib,6,256,2577.25,16.8597,1.3175,1640.88,38.3725,
nfllib,7,256,1470.42,17.0437,2.0375,2245.21,87.043,
nfllib,8,256,9240.38,20.1507,5.0025,1192.44,50.6475,
nfllib,9,256,600.734,21.3783,5.2495,1129.54,51.3095,
openfhe,0,128,73832.2,16179.8,871.116,25326.9,4979.06,5.471
openfhe,0,192,83985.7,16441.5,633.58,25945.8,3699.79,0.561
openfhe,0,256,173135,44648.5,1390.98,49475.3,8149.55,0.887
openfhe,1,128,98152.3,16023.4,760.473,25833.5,4118.82,0.567
openfhe,1,192,80441,22182.4,1895.21,29547.6,5327.87,0.658
openfhe,1,256,166717,35881.7,1418.98,50862.8,8578.44,0.884
openfhe,2,128,85648.7,21473.6,803.631,24780.8,4966.48,0.661
openfhe,2,192,80479.7,18852.8,781.34,24911.3,4027.44,0.655
openfhe,2,256,164321,42426.1,1620.04,53066.9,9051.33,0.604
openfhe,3,128,81663.4,18798.8,682.553,26282.7,3529.56,0.885
openfhe,3,192,86989.1,20841.6,839.247,67474.1,42897.7,0.594
openfhe,3,256,183449,41087.5,1429.22,59916.3,8713.2,0.734
openfhe,4,128,101944,20799.5,1288.38,27640.6,3716.71,0.641
openfhe,4,192,208097,27054.7,836.504,27142.2,5602.21,0.741
openfhe,4,256,441614,42031.9,1391.36,65942.5,10630.4,0.571
openfhe,5,128,113241,20670.1,881.942,43146.3,7089.4,0.875
openfhe,5,192,112746,23464.2,704.462,40710.6,6320.24,0.936
openfhe,5,256,1.06767e+06,54477.8,1382.38,67632.4,10107.1,0.594
openfhe,6,128,99474.3,21946.1,799.058,32527,3496.66,0.657
openfhe,6,192,88721.7,20258.6,816.703,26160.5,3465.35,0.603
openfhe,6,256,188787,37623.4,1515.83,53383,8209.42,0.582
openfhe,7,128,90439.6,17783.1,692.609,27277.3,4799.77,0.619
openfhe,7,192,88928.4,19108.2,1157.63,26773.2,3980.94,0.574
openfhe,7,256,185540,37092.9,1376.91,56419.2,9122.57,0.65
openfhe,8,128,98124,17830.9,842.164,26836.9,4185.31,0.852
openfhe,8,192,97454,28897.1,1475.37,41061.3,6662.43,0.654
openfhe,8,256,178485,44846.2,2844.45,62149.6,10171.4,0.564
openfhe,9,128,105272,24555.8,1059.51,35164.5,5671,0.609
openfhe,9,192,262036,28547.8,599.232,32728.8,4997.38,0.765
openfhe,9,256,211328,41521.1,1400.25,65117.9,10460.1,0.674
helib,0,128,366687,120138,1114.37,381316,1.58605e+07,4.54421e+07
helib,0,192,657456,261686,910.573,538587,6.59375e+06,6.49244e+07
helib,0,256,1.16679e+06,172562,975.467,391279,5.81642e+06,5.45134e+07
helib,1,128,613643,138011,2765.06,634131,4.35744e+06,5.07753e+07
helib,1,192,220251,144621,955.641,583443,4.47213e+06,6.0003e+07
helib,1,256,503965,181523,13529.3,605645,4.17872e+06,5.39627e+07
helib,2,128,400162,71578.5,1404.17,525827,4.65526e+06,3.68527e+07
helib,2,192,242484,54699.4,893.26,276262,4.24076e+06,4.03056e+07
helib,2,256,181482,78543.4,853.102,232480,4.17951e+06,3.80229e+07
helib,3,128,248128,52673.3,1562.56,413445,4.62448e+06,3.65283e+07
helib,3,192,142255,44541.2,1167.82,293299,3.85002e+06,3.6203e+07
helib,3,256,125701,37488.4,551.402,242315,4.04834e+06,3.70655e+07
helib,4,128,217049,149540,1274.54,461578,4.6371e+06,3.57613e+07
helib,4,192,193159,48247.9,999.412,737115,5.2614e+06,3.86758e+07
helib,4,256,182133,38375.9,725.093,245148,4.32567e+06,3.99951e+07
helib,5,128,274020,59400.9,1204.38,376039,5.51972e+06,3.88213e+07
helib,5,192,154529,45517.4,811.521,641735,4.66284e+06,4.00147e+07
helib,5,256,189537,47202.9,794.36,420387,3.49889e+06,3.95009e+07
helib,6,128,246680,47321.3,1182.11,287249,3.4101e+06,2.88619e+07
helib,6,192,217157,56972.4,798.603,288946,4.3488e+06,3.37176e+07
helib,6,256,330344,43254.7,709.076,205833,3.29892e+06,3.61622e+07
helib,7,128,224855,49673.3,1220.44,284443,3.34686e+06,2.67716e+07
helib,7,192,180801,55849.4,1277.43,267256,3.50728e+06,2.66687e+07
helib,7,256,124633,36828.2,586.976,188394,3.24122e+06,2.69798e+07
helib,8,128,360349,50403.9,1303.07,291801,3.41045e+06,2.63068e+07
helib,8,192,136557,39768,712.881,221733,3.26441e+06,2.68317e+07
helib,8,256,109595,38031.7,635.395,183659,3.20419e+06,2.62355e+07
helib,9,128,337860,63770.1,1115.7,277275,3.26512e+06,2.62263e+07
helib,9,192,258161,40162.1,851.963,234019,3.24232e+06,2.6558e+07
helib,9,256,110048,39947,493.45,188276,3.23955e+06,2.68067e+07
